id,name,age,profession,experience,riskTolerance,tradingStrategy,decisionModel,fraudulent
0011964b-39a3-40c1-9507-e7d10ecfbabf,Elliot,45,full_time_trader,experienced,0.7915784548111207,arbitrage,rational_economic,false
00d6b1a4-2968-4a58-a522-6c1f40f9ab15,Jude,49,full_time_trader,expert,0.668377467143766,arbitrage,technical_analysis,false
00d71349-8982-49c1-ace2-85967923bcdc,Charlie,28,full_time_trader,intermediate,0.88457461193581,value_investing,fundamental_analysis,false
00dc067b-97dc-4d07-9502-c5850a0226c6,Kai,31,full_time_trader,experienced,0.7630750156928761,value_investing,rational_economic,false
00ea7bd2-7c30-43b1-9618-565e699599ad,Reagan,43,full_time_trader,expert,0.8072343232682113,day_trading,fundamental_analysis,false
0157f1cf-1c81-40ec-9371-d96457e043c3,Emerson,33,full_time_trader,expert,0.5777961555117828,day_trading,behavioral_finance,false
01d2ed60-fa81-4891-92ef-0d73314eaa41,Phoenix,54,full_time_trader,expert,0.8524436167475226,arbitrage,contrarian,false
01fb1f96-e09f-4908-96a2-b4b73ed8e213,Charlie,28,full_time_trader,intermediate,0.967710565974831,day_trading,technical_analysis,false
0317be5a-66b7-4bfe-a6da-3085226e8604,Morgan,28,full_time_trader,intermediate,0.6958329403645889,swing_trading,behavioral_finance,false
0349d520-dd0f-4662-ba5f-1bd1c17d60ae,Blair,50,full_time_trader,expert,0.7372019187900999,day_trading,fundamental_analysis,false
039635a9-437e-47b5-85fb-9aabdf33b7c0,Marley,39,full_time_trader,expert,0.7192417824698114,value_investing,social_influence,false
039968af-e914-4796-8bff-194e058f32ad,Emerson,50,full_time_trader,expert,0.7749748726574089,day_trading,technical_analysis,false
04785c36-8450-477f-8586-4c646790b07b,Sydney,27,full_time_trader,intermediate,0.5836415539670408,swing_trading,fundamental_analysis,false
0508a051-81d1-4723-bc66-52fdbb75d56e,River,59,full_time_trader,expert,0.7773762482718726,value_investing,technical_analysis,false
05c5a299-be66-4075-a8fd-ebd5cc959a51,Peyton,58,full_time_trader,expert,0.6563435473835424,momentum_trading,behavioral_finance,false
0710f0f1-5bf4-4f78-813a-f994a9a2e351,Taylor,35,full_time_trader,experienced,0.8374197445672138,arbitrage,behavioral_finance,false
0782e9f2-e2df-4804-9cf1-4070eeb55695,Hayden,50,full_time_trader,expert,0.6754374147912072,day_trading,technical_analysis,false
08360ca6-4cd4-42e4-94cc-e3a4698de453,Skyler,54,full_time_trader,expert,0.9104968904562595,value_investing,technical_analysis,false
